Key,en,es,ar,fr
Mail From Address,Mail From Address,Dirección de correo,عنوان البريد من,Adresse de courrier de
Required,Required,Requerido,مطلوب,Requis
Categories,Categories,Categorías,فئات,Catégories
User Status,User Status,Estado del usuario,حالة المستخدم,Statut de l'utilisateur
Unverified,Unverified,Inconfirmado,غير مُتحقق,Non vérifié
2FA Verification,2FA Verification,Verificación 2FA,التحقق من 2FA,Vérification 2FA
User Registration,User Registration,Registro de usuario,تسجيل المستخدم,Enregistrement de l'utilisateur
Activated,Activated,Activado,تم التفعيل,Activé
Deactivated,Deactivated,Desactivado,تم إلغاء تنشيطه,Désactivé
Secure Password,Secure Password,Contraseña segura,كلمة مرور آمنة,Mot de passe sécurisé
Agree Policy,Agree Policy,Política de acuerdo,الموافقة على السياسة,Accepter la politique
Force SSL,Force SSL,Forzar SSL,فرض SSL,Forcer SSL
Email Notification,Email Notification,Notificación por correo electrónico,إشعار البريد الإلكتروني,Notification par e-mail
Title,Title,Título,عنوان,Titre
Payment Required,Payment Required,Pago requerido,الدفع مطلوب,Paiement requis
Message,Message,Mensaje,رسالة,Message
Too Many Requests,Too Many Requests,Demasiadas solicitudes,طلبات كثيرة جدًا,Trop de demandes
Service Unavailable,Service Unavailable,Servicio No Disponible,الخدمة غير متوفرة,service non disponible
Register Information,Register Information,Información de registro,معلومات التسجيل,Informations d'inscription
pagination.previous,pagination.previous,paginación.anterior,الترقيم.السابق,pagination.précédent
Showing,Showing,Demostración,عرض,Affichage
of,of,de,ل,de
results,results,resultados,نتائج,résultats
Register,Register,Registro,يسجل,Registre
Logout,Logout,Cerrar sesión,تسجيل الخروج,Déconnexion
Unauthorized,Unauthorized,No autorizado,غير مصرح به,Non autorisé
Forbidden,Forbidden,Prohibido,مُحرَّم,Interdit
Not Found,Not Found,Extraviado,لم يتم العثور عليه,Non trouvé
Page Expired,Page Expired,Página expirada,انتهت صلاحية الصفحة,Page expirée
Server Error,Server Error,Error del servidor,خطأ في الخادم,Erreur du serveur
Previous,Previous,Anterior,سابق,Précédent
Next,Next,Próximo,التالي,Suivant
Please confirm your password before continuing.,Please confirm your password before continuing.,Por favor confirme su contraseña antes de continuar.,يرجى تأكيد كلمة المرور الخاصة بك قبل الاستمرار.,Veuillez confirmer votre mot de passe avant de continuer.
Forgot Your Password?,Forgot Your Password?,¿Olvidaste tu contraseña?,نسيت كلمة السر؟,Mot de passe oublié?
Send Password Reset Link,Send Password Reset Link,Enviar enlace de restablecimiento de contraseña,إرسال رابط إعادة تعيين كلمة المرور,Envoyer le lien de réinitialisation du mot de passe
Remember Me,Remember Me,Acuérdate de mí,تذكرنى,Souviens-toi de moi
Verify Your Email Address,Verify Your Email Address,Verifique su dirección de correo electrónico,التحقق من عنوان بريدك الإلكتروني,Vérifiez votre adresse e-mail
A fresh verification link has been sent to your email address.,A fresh verification link has been sent to your email address.,Se ha enviado un nuevo enlace de verificación a su dirección de correo electrónico.,لقد تم إرسال رابط تحقق جديد إلى عنوان بريدك الإلكتروني.,Un nouveau lien de vérification a été envoyé à votre adresse e-mail.
"Before proceeding, please check your email for a verification link.","Before proceeding, please check your email for a verification link.","Antes de continuar, revise su correo electrónico para obtener un enlace de verificación.",قبل المتابعة، يرجى التحقق من بريدك الإلكتروني للحصول على رابط التحقق.,"Avant de continuer, veuillez vérifier votre courrier électronique pour un lien de vérification."
If you did not receive the email,If you did not receive the email,Si no recibiste el correo electrónico,إذا لم تستلم البريد الإلكتروني,Si vous n'avez pas reçu l'e-mail
click here to request another,click here to request another,Haga clic aquí para solicitar otro,انقر هنا لطلب آخر,cliquez ici pour en demander un autre
You are logged in!,You are logged in!,¡Has iniciado sesión!,لقد قمت بتسجيل الدخول!,Vous êtes connecté!
There was an error on row :row. :message,There was an error on row :row. :message,Hubo un error en la fila :row. :message,حدث خطأ في الصف :row. :message,Une erreur s'est produite sur la ligne :row. :message
row,row,fila,صف,rangée
logged in.,logged in.,ha iniciado sesión.,تم تسجيل الدخول.,connecté.
Complete Logs,Complete Logs,Registros completos,السجلات الكاملة,Journaux complets
Oops! Failed to send mail. Please recheck your mail credentials or reconfigure mail,Oops! Failed to send mail. Please recheck your mail credentials or reconfigure mail,"¡Uy! No se pudo enviar el correo. Por favor, revise sus credenciales de correo o reconfigure el correo.",عفواً! فشل إرسال البريد. يُرجى إعادة التحقق من بيانات اعتماد بريدك الإلكتروني أو إعادة ضبط إعداداته.,Oups ! Échec de l'envoi du mail. Veuillez revérifier vos identifiants de messagerie ou reconfigurer votre messagerie.
Admin Roles,Admin Roles,Roles de administrador,أدوار الإدارة,Rôles d'administrateur
Oops! Target role not found!,Oops! Target role not found!,¡Ups! ¡No se encontró el rol objetivo!,عفواً! لم يتم العثور على الدور المستهدف!,Oups ! Rôle cible introuvable !
Admin role updated successfully!,Admin role updated successfully!,¡El rol de administrador se actualizó exitosamente!,تم تحديث دور المسؤول بنجاح!,Le rôle d'administrateur a été mis à jour avec succès !
Super admin role can,Super admin role can,El rol de superadministrador puede,يمكن أن يكون دور المشرف الأعلى,Le rôle de super administrateur peut
Permission Group,Permission Group,Grupo de permisos,مجموعة الأذونات,Groupe d'autorisations
Role Permission (,Role Permission (,Permiso de rol (,إذن الدور (,Autorisation de rôle (
Invalid code. Please try again,Invalid code. Please try again,Código no válido. Inténtalo de nuevo.,الرمز غير صالح. يُرجى المحاولة مرة أخرى.,Code invalide. Veuillez réessayer.
Crypto Assets,Crypto Assets,Activos criptográficos,الأصول المشفرة,Crypto-actifs
Crypto Wallet Transactions,Crypto Wallet Transactions,Transacciones de billeteras criptográficas,معاملات محفظة العملات المشفرة,Transactions de portefeuille cryptographique
Automatic Add Money,Automatic Add Money,Añadir dinero automáticamente,إضافة الأموال تلقائيًا,Ajout automatique d'argent
Manual Add Money,Manual Add Money,Agregar dinero manualmente,إضافة الأموال يدويًا,Ajout manuel d'argent
Automatic Add Money Edit,Automatic Add Money Edit,Edición automática de agregar dinero,تحرير إضافة الأموال تلقائيًا,Modification automatique de l'ajout d'argent
Manual Add Money Edit,Manual Add Money Edit,Agregar dinero manualmente y editar,تعديل إضافة الأموال يدويًا,Modification manuelle de l'ajout d'argent
Money Out Edit,Money Out Edit,Edición de salida de dinero,تحرير الأموال الخارجة,Édition de sortie d'argent
alias.exists,alias.exists,alias.existe,الاسم المستعار موجود,alias.existe
Selected payment gateway is invalid!,Selected payment gateway is invalid!,¡El portal de pago seleccionado no es válido!,بوابة الدفع المحددة غير صالحة!,La passerelle de paiement sélectionnée n'est pas valide !
Money Out Add,Money Out Add,Saldo de dinero Agregar,إضافة أموال خارجة,Ajouter de l'argent en sortie
Admin Profile,Admin Profile,Perfil de administrador,الملف الشخصي للمسؤول,Profil d'administrateur
Password Change,Password Change,Cambio de contraseña,تغيير كلمة المرور,Changement de mot de passe
current_password,current_password,Contraseña actual,كلمة المرور الحالية,mot de passe actuel
Current password didn,Current password didn,La contraseña actual no,كلمة المرور الحالية غير موجودة,Mot de passe actuel
Password updated successfully!,Password updated successfully!,¡Contraseña actualizada exitosamente!,تم تحديث كلمة المرور بنجاح!,Mot de passe mis à jour avec succès !
2FA Authentication,2FA Authentication,Autenticación 2FA,مصادقة 2FA,Authentification 2FA
Google 2FA Status Updated Successfully!,Google 2FA Status Updated Successfully!,¡Estado de Google 2FA actualizado exitosamente!,تم تحديث حالة Google 2FA بنجاح!,Le statut Google 2FA a été mis à jour avec succès !
Server Information,Server Information,Información del servidor,معلومات الخادم,Informations sur le serveur
Default Template,Default Template,Plantilla predeterminada,القالب الافتراضي,Modèle par défaut
KYC Data Form,KYC Data Form,Formulario de datos KYC,نموذج بيانات KYC,Formulaire de données KYC
Client Feedback Section,Client Feedback Section,Sección de comentarios de clientes,قسم ملاحظات العملاء,Section Commentaires des clients
Announcement Section,Announcement Section,Sección de anuncios,قسم الإعلانات,Section Annonces
Website Subscribers,Website Subscribers,Suscriptores del sitio web,مشتركي الموقع,Abonnés au site Web
All Ticket,All Ticket,Todas las entradas,جميع التذاكر,Tous les billets
Pending Ticket,Pending Ticket,Ticket pendiente,تذكرة معلقة,Ticket en attente
Active Ticket,Active Ticket,Ticket activo,تذكرة نشطة,Ticket actif
Solved Ticket,Solved Ticket,Ticket resuelto,تذكرة محلولة,Ticket résolu
Support Chat,Support Chat,Chat de soporte,دردشة الدعم,Chat d'assistance
Edit Useful Link,Edit Useful Link,Editar enlace útil,تعديل الرابط المفيد,Modifier le lien utile
Email Unverified Users,Email Unverified Users,Enviar correos electrónicos a usuarios no verificados,البريد الإلكتروني للمستخدمين غير الموثقين,Envoyer un e-mail aux utilisateurs non vérifiés
SMS Unverified Users,SMS Unverified Users,Usuarios no verificados de SMS,مستخدمو الرسائل القصيرة غير المُتحقق منهم,Utilisateurs SMS non vérifiés
KYC Unverified Users,KYC Unverified Users,Usuarios no verificados de KYC,مستخدمو KYC غير المُتحقق منهم,Utilisateurs non vérifiés KYC
User Details,User Details,Detalles del usuario,تفاصيل المستخدم,Détails de l'utilisateur
Login Logs,Login Logs,Registros de inicio de sesión,سجلات تسجيل الدخول,Journaux de connexion
Oops! User doesn,Oops! User doesn,¡Ups! El usuario no,عفواً! المستخدم لا,Oups ! L'utilisateur ne
User Email Logs,User Email Logs,Registros de correo electrónico del usuario,سجلات البريد الإلكتروني للمستخدم,Journaux de courrier électronique des utilisateurs
KYC Profile,KYC Profile,Perfil KYC,ملف KYC,Profil KYC
api,api,API,واجهة برمجة التطبيقات,API
Something went wrong! File is not detected.,Something went wrong! File is not detected.,¡Algo salió mal! No se detectó el archivo.,حدث خطأ ما! لم يتم اكتشاف الملف.,Une erreur s'est produite ! Le fichier n'est pas détecté.
File Deleted Successfully!,File Deleted Successfully!,¡Archivo eliminado exitosamente!,تم حذف الملف بنجاح!,Fichier supprimé avec succès !
Please Verify 2FA Authentication,Please Verify 2FA Authentication,Por favor verifique la autenticación 2FA,يرجى التحقق من مصادقة 2FA,Veuillez vérifier l'authentification 2FA
Installation,Installation,Instalación,تثبيت,Installation
Project Installation Process is,Project Installation Process is,El proceso de instalación del proyecto es,عملية تثبيت المشروع هي,Le processus d'installation du projet est
Failed!,Failed!,¡Fallido!,فشل!,Échoué!
Project Installation Server,Project Installation Server,Servidor de instalación de proyectos,خادم تثبيت المشروع,Serveur d'installation de projet
Requirements,Requirements,Requisitos,متطلبات,Exigences
Back,Back,Atrás,خلف,Dos
Welcome,Welcome,Bienvenido,مرحباً,Accueillir
To Project Installation Process,To Project Installation Process,Proceso de instalación del proyecto,لعملية تثبيت المشروع,Vers le processus d'installation du projet
"To continue with the installation process click on the start button. if you choose not to install this application, click on the cancel button. Thanks","To continue with the installation process click on the start button. if you choose not to install this application, click on the cancel button. Thanks","Para continuar con la instalación, haga clic en el botón de inicio. Si decide no instalar esta aplicación, haga clic en el botón de cancelación. Gracias.",لمتابعة عملية التثبيت، انقر على زر البدء. إذا اخترت عدم تثبيت هذا التطبيق، فانقر على زر الإلغاء. شكرًا.,"Pour poursuivre l'installation, cliquez sur le bouton « Démarrer ». Si vous choisissez de ne pas installer l'application, cliquez sur le bouton « Annuler ». Merci."
Cancel,Cancel,Cancelar,يلغي,Annuler
Start,Start,Comenzar,يبدأ,Commencer
Please Verify 2FA Authentication Using Valid Code,Please Verify 2FA Authentication Using Valid Code,Verifique la autenticación 2FA con un código válido,يرجى التحقق من مصادقة 2FA باستخدام رمز صالح,Veuillez vérifier l'authentification 2FA à l'aide d'un code valide
Authentication Code,Authentication Code,Código de autenticación,رمز المصادقة,Code d'authentification
If something wrong with your authentication process you can reset your password to get the dashboard access,If something wrong with your authentication process you can reset your password to get the dashboard access,"Si hay algún problema con su proceso de autenticación, puede restablecer su contraseña para obtener acceso al panel de control.",إذا كان هناك خطأ ما في عملية المصادقة الخاصة بك، فيمكنك إعادة تعيين كلمة المرور الخاصة بك للحصول على إمكانية الوصول إلى لوحة المعلومات,"Si quelque chose ne va pas avec votre processus d'authentification, vous pouvez réinitialiser votre mot de passe pour accéder au tableau de bord."
Verify,Verify,Verificar,يؤكد,Vérifier
Admin | Login,Admin | Login,Administrador | Iniciar sesión,المسؤول | تسجيل الدخول,Administrateur | Connexion
text,text,texto,نص,texte
SL NO,SL NO,SL NO,رقم SL,SL NON
TXN Type,TXN Type,Tipo TXN,نوع TXN,Type TXN
Asset,Asset,Activo,أصل,Actif
Chain,Chain,Cadena,سلسلة,Chaîne
Block Number,Block Number,Número de bloque,رقم الكتلة,Numéro de bloc
Rate,Rate,Tasa,معدل,Taux
Add Language,Add Language,Agregar idioma,إضافة لغة,Ajouter une langue
Add,Add,Agregar,يضيف,Ajouter
Edit Language,Edit Language,Editar idioma,تحرير اللغة,Modifier la langue
Select Language,Select Language,Seleccionar idioma,اختر اللغة,Sélectionner la langue
"Language File (.xlsx, .csv)","Language File (.xlsx, .csv)","Archivo de idioma (.xlsx, .csv)",ملف اللغة (.xlsx، .csv),"Fichier de langue (.xlsx, .csv)"
Add New Item,Add New Item,Agregar nuevo artículo,إضافة عنصر جديد,Ajouter un nouvel élément
Add Brand,Add Brand,Agregar marca,إضافة العلامة التجارية,Ajouter une marque
Add Feedback,Add Feedback,Añadir comentarios,إضافة تعليقات,Ajouter un commentaire
Add Service,Add Service,Agregar servicio,إضافة خدمة,Ajouter un service
Add Solution,Add Solution,Añadir solución,إضافة الحل,Ajouter une solution
Add Admin,Add Admin,Agregar administrador,إضافة مسؤول,Ajouter un administrateur
countryFlag,countryFlag,bandera del país,علم الدولة,drapeau du pays
Admin Profile Image,Admin Profile Image,Imagen de perfil de administrador,صورة الملف الشخصي للمسؤول,Image de profil d'administrateur
Generate,Generate,Generar,يولد,Générer
Select Role,Select Role,Seleccionar rol,حدد الدور,Sélectionner un rôle
Add Currency,Add Currency,Agregar moneda,إضافة العملة,Ajouter une devise
Country Flag,Country Flag,Bandera del país,علم الدولة,Drapeau du pays
Add New Screen,Add New Screen,Agregar nueva pantalla,إضافة شاشة جديدة,Ajouter un nouvel écran
Sub Title,Sub Title,Subtítulo,العنوان الفرعي,Sous-titre
Add New Permission,Add New Permission,Agregar nuevo permiso,إضافة إذن جديد,Ajouter une nouvelle autorisation
Permission Name,Permission Name,Nombre del permiso,اسم الإذن,Nom de l'autorisation
selectRole,selectRole,seleccionarRol,حدد الدور,sélectionner le rôle
Choose One,Choose One,Elige uno,اختر واحدا,Choisissez-en un
Assign Permission Page/Task,Assign Permission Page/Task,Asignar página/tarea de permisos,تعيين صفحة/مهمة الأذونات,Attribuer une page/tâche d'autorisation
Edit Permission,Edit Permission,Permiso de edición,إذن التعديل,Modifier l'autorisation
Add New Role,Add New Role,Agregar nuevo rol,إضافة دور جديد,Ajouter un nouveau rôle
Role Name,Role Name,Nombre del rol,اسم الدور,Nom du rôle
Edit Role,Edit Role,Editar rol,تحرير الدور,Modifier le rôle
Edit Admin,Edit Admin,Editar administrador,تحرير المسؤول,Modifier l'administrateur
Edit Currency,Edit Currency,Editar moneda,تعديل العملة,Modifier la devise
Edit Screen,Edit Screen,Pantalla de edición,تحرير الشاشة,Écran d'édition
Update Extension,Update Extension,Actualizar extensión,امتداد التحديث,Extension de mise à jour
Rejejct KYC,Rejejct KYC,Rechazar KYC,رفض KYC,Rejeter KYC
Explain Rejection Reason,Explain Rejection Reason,Explicar el motivo del rechazo,اشرح سبب الرفض,Expliquez la raison du rejet
Send Email,Send Email,Enviar correo electrónico,إرسال بريد إلكتروني,Envoyer un e-mail
placeholder,placeholder,marcador de posición,عنصر نائب,espace réservé
Close,Close,Cerca,يغلق,Fermer
Send Test Mail,Send Test Mail,Enviar correo de prueba,إرسال بريد اختباري,Envoyer un e-mail de test
Send mail to all subscribers,Send mail to all subscribers,Enviar correo a todos los suscriptores,إرسال البريد إلى جميع المشتركين,Envoyer un courrier à tous les abonnés
Details,Details,Detalles,تفاصيل,Détails
Global Setting for,Global Setting for,Configuración global para,الإعداد العالمي لـ,Cadre global pour
in bellow,in bellow,abajo,في الأسفل,ci-dessous
Amount Limit,Amount Limit,Límite de cantidad,حد المبلغ,Limite de montant
Charge,Charge,Cargar,تكلفة,Charge
Total Supported Currency,Total Supported Currency,Moneda total admitida,إجمالي العملة المدعومة,Total des devises prises en charge
Collect Data,Collect Data,Recopilar datos,جمع البيانات,Collecter des données
fas fa-plus,fas fa-plus,fas fa-plus,فاس فا بلس,fas fa-plus
Field Types,Field Types,Tipos de campo,أنواع الحقول,Types de champs
"This ticket is solved, you can","This ticket is solved, you can","Este ticket esta solucionado, puedes",تم حل هذه التذكرة، يمكنك,"Ce ticket est résolu, vous pouvez"
Pending Tickets,Pending Tickets,Tickets pendientes,التذاكر المعلقة,Billets en attente
Active Tickets,Active Tickets,Entradas activas,التذاكر النشطة,Billets actifs
Solved Tickets,Solved Tickets,Tickets resueltos,التذاكر المحلولة,Tickets résolus
All Tickets,All Tickets,Todas las entradas,جميع التذاكر,Tous les billets
Action,Action,Acción,فعل,Action
Mark as Solved,Mark as Solved,Marcar como resuelto,وضع علامة على الحل,Marquer comme résolu
Support Details,Support Details,Detalles de soporte,تفاصيل الدعم,Détails de l'assistance
Description,Description,Descripción,وصف,Description
Attachments,Attachments,Archivos adjuntos,المرفقات,Pièces jointes
Are you sure to mark as solved (Token:,Are you sure to mark as solved (Token:,¿Estás seguro de marcar como resuelto (Token:,هل أنت متأكد من وضع علامة على الحل (الرمز:,Êtes-vous sûr de marquer comme résolu (Jeton :
Because it,Because it,Porque es,لأنه,Parce que c'est
Fixed Charge,Fixed Charge,Cargo fijo,رسوم ثابتة,Frais fixes
Percent Charge,Percent Charge,Porcentaje de carga,نسبة الرسوم,Pourcentage de charge
Range,Range,Rango,يتراوح,Gamme
Minimum Amount,Minimum Amount,Cantidad mínima,الحد الأدنى للمبلغ,Montant minimum
Maximum Amount,Maximum Amount,Cantidad máxima,الحد الأقصى للمبلغ,Montant maximum
Limit,Limit,Límite,حد,Limite
Daily Transfer Limit,Daily Transfer Limit,Límite de transferencia diaria,حد التحويل اليومي,Limite de transfert quotidienne
Monthly Transfer Limit,Monthly Transfer Limit,Límite de transferencia mensual,حد التحويل الشهري,Limite de transfert mensuelle
Admin,Admin,Administración,مسؤل,Administrateur
Developed by,Developed by,Desarrollado por,تم تطويره بواسطة,Développé par
Reset To Default,Reset To Default,Restablecer a valores predeterminados,إعادة التعيين إلى الوضع الافتراضي,Réinitialiser aux paramètres par défaut
Clear All,Clear All,Borrar todo,مسح الكل,Tout effacer
No new notification found!,No new notification found!,¡No se encontró ninguna notificación nueva!,لم يتم العثور على إشعار جديد!,Aucune nouvelle notification trouvée !
Google 2FA,Google 2FA,Google 2FA,المصادقة الثنائية من جوجل,Google 2FA
TRX ID,TRX ID,Identificación de TRX,معرف TRX,ID TRX
Gateway,Gateway,Puerta,بوابة,Porte
Time,Time,Tiempo,وقت,Temps
URI,URI,URI,عنوان URI,URI
Are you sure to delete this permission?,Are you sure to delete this permission?,¿Estás seguro de eliminar este permiso?,هل أنت متأكد من حذف هذا الإذن؟,Êtes-vous sûr de vouloir supprimer cette autorisation ?
All Admin Roles,All Admin Roles,Todos los roles de administrador,جميع أدوار الإدارة,Tous les rôles d'administrateur
Asign Admin,Asign Admin,Asignar administrador,تعيين المسؤول,Affecter un administrateur
Are you sure to delete this role,Are you sure to delete this role,¿Estás seguro de eliminar este rol?,هل أنت متأكد من حذف هذا الدور؟,Êtes-vous sûr de vouloir supprimer ce rôle ?
All Permissions,All Permissions,Todos los permisos,جميع الأذونات,Toutes les autorisations
Are you sure to delete this permission? It will also delete all permissions against this role.,Are you sure to delete this permission? It will also delete all permissions against this role.,¿Estás seguro de eliminar este permiso? También se eliminarán todos los permisos para este rol.,هل أنت متأكد من حذف هذا الإذن؟ سيؤدي ذلك أيضًا إلى حذف جميع الأذونات المتعلقة بهذا الدور.,Êtes-vous sûr de vouloir supprimer cette autorisation ? Cela supprimera également toutes les autorisations pour ce rôle.
Are you sure to remove,Are you sure to remove,¿Estás seguro de eliminarlo?,هل أنت متأكد من الإزالة؟,Êtes-vous sûr de vouloir supprimer
Are you sure to,Are you sure to,¿Estás seguro de?,هل انت متأكد من ذلك؟,Êtes-vous sûr de
this screen?,this screen?,¿Esta pantalla?,هذه الشاشة؟,cet écran ?
App Version,App Version,Versión de la aplicación,إصدار التطبيق,Version de l'application
Reply,Reply,Responder,رد,Répondre
Created At,Created At,Creado en,تم إنشاؤه في,Créé à
Replyed,Replyed,Respondido,تم الرد,Répondu
Not Replyed,Not Replyed,No respondido,لم يتم الرد,Pas de réponse
Send Reply,Send Reply,Enviar respuesta,إرسال الرد,Envoyer une réponse
Policy Link,Policy Link,Enlace de política,رابط السياسة,Lien politique
Gateways,Gateways,Puertas de enlace,بوابات,Passerelles
Crypto Wallets,Crypto Wallets,Monederos de criptomonedas,محافظ العملات المشفرة,Portefeuilles cryptographiques
Generate Wallets,Generate Wallets,Generar billeteras,إنشاء محافظ,Générer des portefeuilles
Wallet not present in some currency/coin.,Wallet not present in some currency/coin.,Monedero no presente en algunas divisas/monedas.,المحفظة غير موجودة في بعض العملات/القطع النقدية.,Portefeuille absent dans certaines devises/pièces.
Ex:,Ex:,Ex:,السابق:,Ex:
Click the generate wallets button to create dynamically wallets.,Click the generate wallets button to create dynamically wallets.,Haga clic en el botón Generar billeteras para crear billeteras dinámicamente.,انقر فوق زر إنشاء المحافظ لإنشاء محافظ ديناميكية.,Cliquez sur le bouton Générer des portefeuilles pour créer des portefeuilles de manière dynamique.
Add Wallet,Add Wallet,Agregar billetera,إضافة المحفظة,Ajouter un portefeuille
Xpub,Xpub,Xpub,إكس بوب,Xpub
Balance,Balance,Balance,توازن,Équilibre
Incoming Balance,Incoming Balance,Saldo entrante,الرصيد الوارد,Solde entrant
Outgoing Balance,Outgoing Balance,Saldo saliente,الرصيد الصادر,Solde sortant
Incoming Pending Balance,Incoming Pending Balance,Saldo pendiente entrante,الرصيد المعلق الوارد,Solde entrant en attente
Outgoing Pending Balance,Outgoing Pending Balance,Saldo pendiente de salida,الرصيد المعلق الصادر,Solde sortant en attente
This Coin is Under Maintenance Or Need to Generate Wallet. You Can Add Wallet Manually By Clicking Add Button.,This Coin is Under Maintenance Or Need to Generate Wallet. You Can Add Wallet Manually By Clicking Add Button.,"Esta moneda está en mantenimiento o necesita generar una billetera. Puede agregarla manualmente haciendo clic en el botón ""Agregar"".","هذه العملة قيد الصيانة أو تحتاج إلى إنشاء محفظة. يمكنك إضافة محفظة يدويًا بالنقر على زر ""إضافة"".",Cette pièce est en cours de maintenance ou nécessite la création d'un portefeuille. Vous pouvez ajouter un portefeuille manuellement en cliquant sur le bouton « Ajouter ».
Add New Wallet,Add New Wallet,Agregar nueva billetera,إضافة محفظة جديدة,Ajouter un nouveau portefeuille
Delete Wallet,Delete Wallet,Eliminar billetera,حذف المحفظة,Supprimer le portefeuille
Are you sure to delete this wallet?,Are you sure to delete this wallet?,¿Estás seguro de eliminar esta billetera?,هل أنت متأكد من حذف هذه المحفظة؟,Êtes-vous sûr de vouloir supprimer ce portefeuille ?
Gateway Edit,Gateway Edit,Edición de puerta de enlace,تعديل البوابة,Modifier la passerelle
Incoming Transactions,Incoming Transactions,Transacciones entrantes,المعاملات الواردة,Transactions entrantes
Transacitons,Transacitons,Transacciones,المعاملات,Transactions
Txn Hash,Txn Hash,Hash de transacción,تجزئة المعاملة,Hachage de transaction
Are you sure to delete,Are you sure to delete,¿Estás seguro de eliminar?,هل أنت متأكد من الحذف؟,Êtes-vous sûr de vouloir supprimer
currency?,currency?,¿divisa?,عملة؟,devise?
Total Visitors,Total Visitors,Total de visitantes,إجمالي الزوار,Nombre total de visiteurs
New,New,Nuevo,جديد,Nouveau
Today,Today,Hoy,اليوم,Aujourd'hui
Total,Total,Total,المجموع,Total
Total Profit,Total Profit,Beneficio total,إجمالي الربح,Bénéfice total
This Day,This Day,Este día,هذا اليوم,Ce jour-là
This Month,This Month,Este mes,هذا الشهر,Ce mois-ci
Solved,Solved,Resuelto,تم الحل,Résolu
Pending Add Money,Pending Add Money,Pendiente de añadir dinero,معلق إضافة الأموال,En attente d'ajout d'argent
Pending Money Out,Pending Money Out,Dinero pendiente de salida,الأموال المعلقة خارج,Argent en attente
Add Money Analytics,Add Money Analytics,Agregar análisis de dinero,إضافة تحليلات الأموال,Ajouter Money Analytics
Send Report,Send Report,Enviar informe,إرسال التقرير,Envoyer un rapport
Latest Transactions,Latest Transactions,Últimas transacciones,أحدث المعاملات,Dernières transactions
Import,Import,Importar,يستورد,Importer
Download,Download,Descargar,تحميل,Télécharger
Are you sure to delete this language?,Are you sure to delete this language?,¿Estás seguro de eliminar este idioma?,هل أنت متأكد من حذف هذه اللغة؟,Êtes-vous sûr de vouloir supprimer cette langue ?
Language Keywords of English,Language Keywords of English,Palabras clave del idioma inglés,الكلمات الرئيسية في اللغة الإنجليزية,Mots-clés de la langue anglaise
Update Gateway,Update Gateway,Actualizar puerta de enlace,بوابة التحديث,Mettre à jour la passerelle
Add Automatic Gateway (Add Money),Add Automatic Gateway (Add Money),Agregar pasarela automática (Agregar dinero),إضافة بوابة أوتوماتيكية (إضافة أموال),Ajouter une passerelle automatique (ajouter de l'argent)
gatewayImage,gatewayImage,Imagen de puerta de enlace,بوابة الصورة,Image de passerelle
Gateway Image,Gateway Image,Imagen de puerta de enlace,صورة البوابة,Image de la passerelle
Genarate Fields,Genarate Fields,Campos generados,إنشاء الحقول,Générer des champs
2FA Settings,2FA Settings,Configuración de 2FA,إعدادات المصادقة الثنائية,Paramètres 2FA
Disable Two Factor Authenticator,Disable Two Factor Authenticator,Deshabilitar el autenticador de dos factores,تعطيل المصادقة الثنائية,Désactiver l'authentificateur à deux facteurs
Don,Don,Don,اِتَّشَح,Enfiler
t login in your account.,t login in your account.,t inicia sesión en tu cuenta.,لتسجيل الدخول إلى حسابك.,ne vous connectez pas à votre compte.
Enable Two Factor Authenticator,Enable Two Factor Authenticator,Habilitar el autenticador de dos factores,تمكين المصادقة الثنائية,Activer l'authentificateur à deux facteurs
2FA (Powered by google)?,2FA (Powered by google)?,¿2FA (con tecnología de Google)?,2FA (مدعوم من جوجل)؟,2FA (propulsé par Google) ?
Save & Change,Save & Change,Guardar y cambiar,حفظ وتغيير,Enregistrer et modifier
Profile Image:,Profile Image:,Imagen de perfil:,صورة الملف الشخصي:,Image de profil :
Select State,Select State,Seleccione Estado,اختر الولاية,Sélectionnez l'état
Select City,Select City,Seleccionar ciudad,اختر المدينة,Sélectionnez la ville
Browser Push Notification Configuration,Browser Push Notification Configuration,Configuración de notificaciones push del navegador,تكوين إشعارات الدفع للمتصفح,Configuration des notifications push du navigateur
Method,Method,Método,طريقة,Méthode
Select Method,Select Method,Seleccionar método,اختر الطريقة,Sélectionnez la méthode
Instance ID,Instance ID,ID de instancia,معرف المثيل,ID d'instance
Primary key,Primary key,Clave principal,المفتاح الأساسي,Clé primaire
Broadcasting/ Internal Notification Configuration,Broadcasting/ Internal Notification Configuration,Configuración de transmisión/notificación interna,تكوين البث/الإشعار الداخلي,Configuration de la diffusion/notification interne
APP ID,APP ID,ID de la aplicación,معرف التطبيق,ID de l'application
Secret key,Secret key,Clave secreta,المفتاح السري,Clé secrète
Cluster,Cluster,Grupo,تَجَمَّع,Grappe
Notification Body,Notification Body,Organismo de notificación,نص الإشعار,Organisme de notification
Latest Notifications,Latest Notifications,Últimas notificaciones,أحدث الإشعارات,Dernières notifications
Body,Body,Cuerpo,جسم,Corps
Version,Version,Versión,إصدار,Version
App Environment,App Environment,Entorno de la aplicación,بيئة التطبيق,Environnement de l'application
App Debug,App Debug,Depuración de aplicaciones,تصحيح أخطاء التطبيق,Débogage d'application
App Mode,App Mode,Modo aplicación,وضع التطبيق,Mode application
